Country,City,One,Two,Three,Four,Image URL,Description
USA,New York,https://pixabay.com/get/ge946d8964184205bce875f082880726b9a98701fe61d2fa7f097ea41cefb3678dafa14b6d6cfe5fd53066c41ace8e460fdab2609aaa0b3334b02c5130bb65783_1280.jpg,https://pixabay.com/get/gf3daa437bb4a9d0e2ab54dcb1342943749acede7e747aa2567b0a0fefc5bf2ecbf88a5ef1c87d1f123be33a1ea4a004d46e8d7a7b234feca3b026472766ffd5e_1280.jpg,https://pixabay.com/get/gec72099801cc126a3cba0345a0562e1e430d17ca7a8411523be115570596dbb2f5761f96a14a2b87d02de06ae8a48a98bf348eb11ca663176a3cb65abc048b01_1280.jpg,https://pixabay.com/get/g8395ac1775474f2def433c305a25b3eb2a48d46d90889121c1d1e9523675e736d63cb0916d7e162cbd36af58fc8df224b2b0cd7f24de1875549f7b4ea52e421d_1280.jpg,https://images.pexels.com/photos/1486222/pexels-photo-1486222.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"Experience the energy and excitement of world-class shopping, iconic landmarks, and diverse cultural offerings."
France,Paris,https://pixabay.com/get/g386629d496313da05937a8bddb192df955913b0344588c5904d529f9c20aee0995dc24b086fb491a1859fb9ff320a12e925d45cf37514ec657ba44652c544d2f_1280.jpg,https://pixabay.com/get/g89053ad886651dba10b46cd290bc45177af0c442ddfe4bfed5c83754eb7103cb1c403d680ca7fa0c3e5dcc51b445369b4e896770458cdaf699a356d87f7ddf76_1280.jpg,https://pixabay.com/get/g8d3b55d2c845543a4955f6ff30ac54c0868aece6ecacd0cd8ca20fa350082f966b7934d35213a3bd4d09d72c252e520e5b8a4d85c500979d3b6a0ae05c201476_1280.jpg,https://pixabay.com/get/gfe255ce444b7c4a995fcbc476fad4fa3d8bc94fd665ec1838fcf6e295fe43594f53f9f85cbe0dc21c080d7df4946b39453ef72b84970ec72c892de70c81fdcf3_1280.jpg,https://images.pexels.com/photos/2082103/pexels-photo-2082103.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,Romance and elegance meet timeless art and historic charm.
Japan,Tokyo,https://pixabay.com/get/g164678314502310723c5b86b16e54a61f341e03a41988721d41c7b4646d3ba451a330c7d6c18008880c9689ee237b4c2032501fe34174d07a6b51a4b9930bf6a_1280.jpg,https://pixabay.com/get/g968279586f94410ce7921bda98c26e2e6cda60c00455e0d93b3ca8b6a8d1ff81eaeed84b8b3f9ca23aa619d57b846b4c6d780ba9e33ef6690532c39ef2bacc96_1280.jpg,https://pixabay.com/get/g03bf6ebee4e7e27393924c8c45a6e4670bfefeef92e086ebc361c3f450ad2f3f59255e337606dd2fdc82cc9c0878c263_1280.jpg,https://pixabay.com/get/gbcbc4e343d87c0cf66b9d227ee06a55b6a43cae38c79f622b6e1821b61f75e1c0a78e384a90008a9b1d2e20b541afd8ba339511b55d43b6aa643beb9fbab5605_1280.jpg,https://images.pexels.com/photos/2614818/pexels-photo-2614818.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Immerse yourself in a vibrant mix of traditional culture and cutting-edge technology in bustling streets and markets.
Italy,Rome,https://pixabay.com/get/gbf907cf6a0abae5ebd4f1a94e03ecef985138c5a3190a8623c345f8b662936498b0d50f01177f7054cda29ee73e5d29657f387bd89101bd4bfd3f59ede21a4d9_1280.jpg,https://pixabay.com/get/g74c1dcc85e8440272545a23624ab3458628f8df00db4db4710df6f040485bba1e307f76bbd5453dd43b3736beb0953430b5b4d4553e7f9e4b5b60470a67c4e72_1280.jpg,https://pixabay.com/get/gae9622ebb7de4519888d044e073a781acda490cace7e6dac099531497fe97fd347aa0b8c85581203d484dd48b553ad0a5fbf518e440890c4db0a58d7a29fdcab_1280.jpg,https://pixabay.com/get/g9912744fcae9972f0d3098339d5c9bd068b513ee9f4949b3d7e75bde0832388353c2ca076431000db4cd87f9d68616d224e773aa84c7735ec8b3288e9a03fc24_1280.jpg,https://images.pexels.com/photos/753639/pexels-photo-753639.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Walk through history where ancient ruins and Renaissance art create a captivating cultural landscape.
Spain,Barcelona,https://pixabay.com/get/gabcd906d1bbbdf9b3dfca8b3134ecbbe904c0cea7cfbf0841c6cc1dbe83e9462819ca5b37b772c8655449f1e8e54347519be091ed7c6b585da11dd0561c95895_1280.jpg,https://pixabay.com/get/g929caf76a652ef8c538fd87e650ace6d8a17006a248fc33fc8327c509897bc288964ed4f4125f7db35cf1a28da5342529d42e50291159240949a0f9c9077dda1_1280.jpg,https://pixabay.com/get/gc7f6cb5505f806fe9d22a5faeef6912ba2baf2a11d918051fb57124fdb00bbb040f11bf444ed8a64cb2210b0c20ea9bb7ccdbc234fd21c4dcdd9d8e52c6d653d_1280.jpg,https://pixabay.com/get/g063ed8959db0d2e03fd38531796d655f66e44263e3893eb701d4c25f783caa1a6545dd9e2563216fef065cdc370223e234cc54bd90bea6875047c86fe0263847_1280.jpg,https://images.pexels.com/photos/1388030/pexels-photo-1388030.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Enjoy an eclectic blend of modernist architecture, vibrant street life, and Mediterranean charm."
Australia,Sydney,https://pixabay.com/get/gf0c67a8a1dbaac61760cc69e8695cb9fe9f69347bf360af26734cf14ff86c17e23dc2c316547d5ba633b5bd78f359a71f83267be84b572b2ed61d62567a81312_1280.jpg,https://pixabay.com/get/ga84099abc5267898a959e8d4b4d9dfe5f6b22ae38a4f3caca0fffc097bb617eeca3f10761c01d0f8b51d01270807fbca924bc6b4648fffff55ff49dc6dce3bca_1280.jpg,https://pixabay.com/get/ged5dfa3b4cec8df6f0097dd753fd4d0d478d1c8071e00c59ee8ba35402731aaa13f0017db85527bdf723580bb0a0db2e465e540a7bf2b6c0049898aebb038c0f_1280.jpg,https://pixabay.com/get/g3d4f5105ff1c85bed600941be08edd802b96e637b0d9ae6fd1ac7d42d3127033b920ce257875f6fb2fc258ba8b4817018a274558f335b2e412450d12df56fafb_1280.jpg,https://images.pexels.com/photos/1878293/pexels-photo-1878293.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"Explore stunning beacheses and iconic landmarks, perfect for adventure sports enthusiasts."
Brazil,Rio de Janeiro,https://pixabay.com/get/g0781c2b7248469b1fcdb6448e3b001ec8e2fd9f17da30e3b8cf30676d62e2237133bea50d705648fd382187ffd8aae714ef3ac7f880b73a11a102a24b7ffca38_1280.jpg,https://pixabay.com/get/g24f71359dc2104240031e29f48428916216bb6e605762ba0883f7386ff4af01f52437ebb1f0dc74db8fe77d8864631947a2fe793d44de0b8133d80559ef0afbf_1280.jpg,https://pixabay.com/get/g0f257d5c2486c7d15c866ff5ebafdc6939b00d5c2d1596c42471d21d203ee08106fb6d4c9eae8b329f2b1515113a0425355322fc808add8ebfef34a9a80249e9_1280.jpg,https://pixabay.com/get/gc9318697c63ff0726bba0a95c328f9400629c0f724e168533152c692445f37db4f22176186c3ab6707fe8cfe3c566b785a85d217149aa85a59d2d268dbba3d50_1280.jpg,https://images.pexels.com/photos/351283/pexels-photo-351283.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Feel the lively atmosphere of carnival, beacheses, and adventure sports."
Canada,Toronto,https://pixabay.com/get/g1872a8f3572e04b83309d5f2d1605a69e92e4975b40fd5e733066c7f1606beb7b28a5c44e4c17e1d5ebdab6e99c7315dfb8c42cbb47ad8b3f6760d78a2506b4d_1280.jpg,https://images.pexels.com/photos/2773226/pexels-photo-2773226.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,https://images.pexels.com/photos/1750754/pexels-photo-1750754.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,https://images.pexels.com/photos/1105666/pexels-photo-1105666.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,https://images.pexels.com/photos/1519088/pexels-photo-1519088.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Discover a rich cultural tapestry and nearby natural wonders with diverse wildlife experiences.
China,Beijing,https://pixabay.com/get/g2b0b68d481de5b9e7672e39dcde393aab49d81ee34312c4cb5996911ae0ee0c492a2809d4385993d0fae675724ec2f1242f3aeb457a41c6faaa90f376dd9b92f_1280.jpg,https://pixabay.com/get/g6e4637192ff90088f0b863083964a77afd651af156b687d23bcadf910f13d22d072494fc261d7eafc81d66b0834c85b520299e1d4b1ce7879147709a224ee12d_1280.jpg,https://pixabay.com/get/g108b17de08797450a364b4eb253b08257424e88076fc4209e09cf84a87b4b6483ee922e2f67f3b4f6fd863f63a9902ec2429d7abb71a1d1add079afeeee79890_1280.jpg,https://pixabay.com/get/g0aab12bc15792cc44fcd35dcf1c0012a15e00fabdf8415de94f548c5c2a29474d51e8c19f668f60078c6129f8dc2277d662eb801de2d8527709e85d834aa9fed_1280.jpg,https://images.pexels.com/photos/1434580/pexels-photo-1434580.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,"Where ancient traditions meet modern marvels, providing a deep dive into cultural heritage."
Germany,Berlin,https://pixabay.com/get/g45c3f0ff04788b085854381e0466c2ba7961cefa8d4d803423c88a3ab32b1bb8965bc5215a8981be46a12481f18a56324cd2ca75ce128b4e91fbf9e08f89c275_1280.jpg,https://pixabay.com/get/gef2a20f769bbbab8d18cfb7319d06781b577a48ffe24f7821e018a551a96cd1fc96b782bc63ecbc424d4457018c528e2968fb5ec12250b867745cd2762360b2b_1280.jpg,https://pixabay.com/get/g0d786fa70ff8ef33f47dcf33940f55aa0d6bbe458b2973791cd9bb2859b4499bcb5c1bf48cb32b036bf99da4036d97cd62bec117873de21ce2be759b3035a16d_1280.jpg,https://pixabay.com/get/geb0cefb186023170cfee095b0766d830f1a3468b4f4686e9bda267f79b0e032f0ceecf1053e1d53bea7e5ab9b2a00610a0dd3838728a84b1684c583d474645a9_1280.jpg,https://images.pexels.com/photos/1128408/pexels-photo-1128408.jpeg?auto=compress&cs=tinysrgb&dpr=2&h=650&w=940,Explore a vibrant art scene and historic sites along with excellent shopping districts.
